Title,Company,Location,Stipend,Duration,Description,IS_Scam
Marketing Strategy,Jay Shah Consultancy,"Pune, Pimpri-Chinchwad                                                                (Hybrid)","₹ 4,000 - 8,000 /month",4 Months,"We seek a motivated business background graduate who is passionate about marketing and strategy. The ideal candidate will be responsible for analysing data to derive actionable insights, creating compelling presentations, and managing social media content.

Selected intern's day-to-day responsibilities include:

1. Analyse market trends and data to inform strategic decisions.
2. Develop and design visually appealing PowerPoint presentations for internal and client meetings.
3. Manage and curate content for social media platforms to enhance brand presence.
4. Collaborate with cross-functional teams to support marketing and business development initiatives.",0
Content Writing,ADORE,Work from home,Unpaid,3 Months,N/A,0
Business Analyst - Business Creation,Ambrosia Botanical,Gurgaon,"₹ 10,000 - 12,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1.  Create and execute go-to-market strategies to launch new business customer acquisition, activation, engagement, and retention
2.  Analyze market trends, customer behavior, and competitor activities to achieve product-market fit
3.  Collaborate with cross-functional teams to plan and implement strategic initiatives
4.  Track and report on key performance indicators to make business decisions and optimize outcomes
5.  Drive engagement with potential customers through targeted multi-channel marketing
6.  Support content creation tailored to different audience segments
7.  Implement marketing techniques like customer segmentation and targeting to enhance campaign performance",0
Event Management,EduAce Services,"Guwahati, Shillong, Udaipur, Kohima                                                                (Hybrid)","₹ 5,000 - 7,000 /month",6 Months,"During your internship, you will have the opportunity to gain valuable hands-on experience in event planning, coordination, and marketing strategies. 

Selected intern's day-to-day responsibilities include: 

1. Assisting in the planning and execution of events, including logistics, vendor coordination, and attendee management
2. Supporting marketing campaigns for events through social media, email marketing, and other promotional activities
3. Conducting market research and analysis to identify trends and opportunities for event improvement
4. Collaborating with cross-functional teams to ensure seamless event experiences for participants and stakeholders
5. Proper reporting of work in Excel format daily
6. Copy correction and sharing of results along with data entry in the format shared by the company within the stipulated time",0
Human Resources (HR),The Trading Fox,Jaipur,"₹ 5,000 - 8,000 /month",2 Months,"Are you a highly motivated individual looking to gain valuable experience in the field of Human Resources? The Trading Fox is seeking an HR intern who is proficient in MS-Excel, MS-Office, and MS-Word to join our dynamic team. 

As an HR intern at The Trading Fox, you will have the opportunity to work closely with our HR team to gain hands-on experience in various aspects of HR operations. Your key responsibilities will include:

1. Assisting with recruitment and onboarding processes
2. Maintaining and updating employee records
3. Conducting research on HR best practices
4. Assisting with employee training and development initiatives
5. Assisting with performance management processes
6. Providing administrative support to the HR team
7. Assisting with special projects and initiatives as needed

If you are a detail-oriented individual with strong communication skills and a passion for HR, we want to hear from you! Join us at The Trading Fox and take the first step towards a rewarding career in Human Resources. Apply now!",0
Video Editor,The Trading Fox,Jaipur,"₹ 2,00,000 - 2,50,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Edit high-quality videos using Capcut, Color Correction, and Color Grading techniques.
2. Utilize Final Cut Pro to enhance video content and ensure a professional finish.
3. Create captivating motion graphics to enhance visual appeal.
4. Stay up-to-date on industry trends and new editing techniques.
5. Assist in maintaining an organized video library for easy access and storage.
6. Must have trading-related knowledge.

If you are a self-motivated individual with a passion for video editing and a strong knowledge of editing software, we want to hear from you! Join us at The Trading Fox and take your editing skills to the next level. Apply now and be a part of our dynamic team!",0
Human Resources (HR),ADORE,Work from home,"₹ 2,000 /month",6 Months,"As an HR intern at ADORE, you will have the unique opportunity to gain hands-on experience in various aspects of human resources while working in a dynamic and fast-paced environment. Your role will involve supporting HR initiatives, assisting with recruitment processes, and contributing to employee engagement activities.

Key Responsibilities:
1. Assist with the recruitment process by screening resumes, scheduling interviews, and conducting reference checks.
2. Coordinate and participate in onboarding activities for new employees to ensure a smooth integration into the company.
3. Support HR professionals in managing employee relations issues and providing guidance on company policies and procedures.
4. Help organize and facilitate training sessions and development programs for employees to enhance their skills and knowledge.
5. Contribute to HR projects and initiatives, such as performance management reviews, diversity and inclusion programs, and employee recognition events.
6. Maintain accurate and up-to-date employee records and files, ensuring compliance with data protection regulations.
7. Collaborate with cross-functional teams to promote a positive company culture and a productive work environment.

If you are a motivated individual with a strong proficiency in spoken English and a passion for HR, we invite you to join our team and make a positive impact on the growth and success of ADORE. Apply now and embark on an exciting journey in the field of human resources.",0
YouTube Expert,The Trading Fox,Jaipur,"₹ 1,50,000 - 2,00,000 /month",6 Months,"As a YouTube Expert at The Trading Fox, you will have the opportunity to showcase your skills in A/B Testing, Analytical Thinking, and Community Management. Your main responsibilities will include:

Selected intern's day-to-day responsibilities include:

1. Conducting A/B Testing on video content to optimize performance and engagement.
2. Analyzing YouTube analytics to identify trends and opportunities for growth. 
3. Collaborating with the team to develop and execute YouTube strategies.
4. Researching and implementing best practices for YouTube SEO to increase visibility.
5. Staying up-to-date on industry trends and algorithm changes to stay ahead of the curve. 

If you are a proactive and creative individual with a passion for YouTube, we want you to join our team and help us take our channel to the next level!",0
Architecture,Studio Kona Architecture & Design,Delhi,"₹ 8,000 - 12,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Create presentations, drawings, and mood boards
2. Work on architectural drawings (plans, sections, elevations, details)
3. Coordinate with vendors and consultants under guidance
4. Assist in design development and conceptualisation for ongoing projects",0
Video Editor,The Trading Fox,Jaipur,"₹ 1,50,000 - 2,00,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Edit and create engaging videos for social media (YouTube, Instagram, etc.).
2. Help plan and come up with new video ideas and concepts.
3. Use editing software (like Adobe Premiere Pro or similar) to improve video quality and storytelling.
4. Assist in recording and capturing footage for different content.
5. Stay updated with the latest video editing styles and trends.
6. Share creative ideas to make our videos better and more engaging.
7. Have a good understanding of basic video editing skills and tools.",0
Sales Consultant,John Anthony & Co,Chennai,"₹ 5,000 - 7,500 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Calling the customers
2. Resolving customer issues
3. Client management",0
Software Development,Planys Technologies Private Limited,Chennai,"₹ 12,500 - 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Design, modify and maintain various components of our system software framework
2. Support in research and development initiatives
3. Conceptualize and implement features using robust software engineering principles
4. Write software to use/control/tweak embedded hardware platforms e.g. cameras, embedded microcontrollers, input devices, wireless devices, analog/digital signal generating devices
5. Develop module specific system test-suite to ensure quality of deliverables
6. Conduct extensive testing of the ROV in controlled and real-world situations
7. Fix the issues observed during field trials and document those for future reference
8. Communicate and coordinate with various stakeholders while ensuring adoption of latest frameworks and tools within our software ecosystem",0
Business Consultant,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",3 Weeks,"Are you passionate about strategic planning, philanthropy, and making a meaningful impact? Join  Pawzz  as a  Business Consultant Intern  and help scale our fundraising initiatives that support over 350 stray animals with shelter, food, and medical care.

Key Responsibilities:
1) Design and enhance innovative fundraising strategies  to drive maximum donor engagement and long-term support.
2) Analyze existing revenue models  and recommend improvements to boost financial sustainability and social impact.
3) Engage your network and community  to attract potential contributors and amplify campaign reach.
4) Collaborate with our team  to create performance-driven outreach and marketing plans that support fundraising goals.
5) Gain real-world consulting experience  while contributing to business development, donor relations, and strategic planning.

Top-performing interns will get an opportunity to work with our core business team on live projects after the internship. Immediate joiners preferred.",0
Digital Marketing,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",1 Month,"As a digital marketing intern, you will collaborate with our team to develop innovative strategies to boost engagement and social impact for our organization. This internship focuses on leveraging your marketing skills and creative thinking to enhance our online presence and promote teamwork within our organization. You'll contribute to the well-being of over 350 stray animals by using digital marketing to spread awareness about our initiatives. In return, you'll gain valuable hands-on experience in social entrepreneurship and digital marketing while contributing to meaningful projects.

Selected intern's day-to-day responsibilities include:

1. Participate in philanthropy activities to support social causes and inspire others to join efforts in creating a lasting social impact.
2. Collaborate with our team to organize, execute, and assess digital marketing campaigns designed to increase visibility and support for our organization and partner NGOs.
3. Utilize various platforms, such as social media, events, and content marketing, to engage supporters and enhance online outreach.
4. Develop creative concepts and solutions for promoting our mission and projects through digital media.
5. Explore new approaches to audience engagement, content creation, and marketing strategies that align with our organization's values.
6. Encourage interaction, gather feedback, and involve stakeholders in shaping marketing strategies and campaigns.",0
Social Service,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",1 Month,"If you've ever wanted to make a real difference, this is your chance. As a Social Service Intern at Pawzz, you will not only serve a cause but also become the voice of countless voiceless souls who depend on us. Your efforts will directly help injured, abandoned, and stray animals get the love, care, and shelter they deserve. Through outreach, donor attraction, and fundraising campaigns, you will become an active force in changing lives, one animal at a time.

Selected intern's day-to-day responsibilities include:

1. Connect with individuals and communities to spread awareness about animal welfare.
2. Attract donors and generate funds through heartfelt outreach efforts.
3. Organize and promote fundraising initiatives across various platforms.
4. Build meaningful relationships with donors, supporters, and volunteers.
5. Contribute to expanding Pawzz's mission and reach through emotional storytelling and active engagement.

Perks:

1. A chance to create a visible impact in the lives of animals.
2. Certificate & Letter of Recommendation acknowledging your contribution.
3. Stipend upon achieving fundraising milestones.
4. Hands-on experience in social outreach, community engagement, and fundraising.

Your voice, your effort, your time - can change an animal's life. Join us and make it count.",0
Content Writing,Earth5R,Work from home,Unpaid,1 Month,"Selected intern's day-to-day responsibilities include:

1. Writing posts  about environmental issues
2. Sharing simple tips for making life more environmentally friendly as posts
3. Uploading posts and articles on sustainability and environmental science
4. Publishing your research through posts on the Earth5R app
5. Participating in volunteering modules and challenges available on the app",0
"Management Trainees - Events, PR & Marketing - Female",PAN India Group,Gurgaon,"₹ 10,000 - 14,000 /month",6 Months,"Are you a female looking to kickstart your career in Events, PR, and Marketing? Look no further! Our PAN India Group company is seeking dynamic Management Trainees to join our team. As an intern, you will have the opportunity to learn and grow in a fast-paced and exciting work environment. 

Selected intern's day-to-day responsibilities include:

1. Assist in planning and executing events, promotions, and marketing campaigns
2. Develop and maintain relationships with clients, vendors, and media contacts
3. Create engaging content for social media platforms and the website
4. Conduct market research and analysis to identify trends and opportunities
5. Coordinate logistics for events and promotional activities
6. Prepare reports and presentations using MS-Office and MS-Excel
7. Collaborate with team members to achieve departmental goals and objectives

If you have excellent communication skills, proficiency in MS-Office and MS-Excel, and a passion for events and marketing, we want to hear from you! Join us as a Management Trainee and take the first step towards a successful career in the industry. Apply now and unleash your potential!",0
