Title,Description,IS_Scam
"  Resources Change Management, Process Excellence and Change Enablement Manager","Change Management professionals provide knowledge and experience related to the skills, structures, tools and support mechanisms needed to manage change and to foster an environment conducive to sustaining that change.Adapts existing methods and procedures to create possible alternative solutions to moderately complex problemsUnderstands the strategic direction set by senior management as it relates to team goalsUses considerable judgment to determine solution and seeks guidance on complex problemsPrimary upward interaction is with direct supervisorMay interact with peers and/or management levels at a client and/or within AccentureDetermines methods and procedures on new assignments with guidanceDecisions often impact the team in which they resideManages small teams and/or work efforts (if in an individual contributor role) at a client or within AccentureAdditional responsibilities in at least one of the following change management offering areas:Change Strategy· Application of the change architectures, models, and frameworks used to execute global, multi-polar, multi-workforce, cross-generational, or multi-cultural, complex change successfully· Assist client executives to communicate frameworks, cultural norms, and stakeholder engagement practicesOrganization Change Enablement· Approach Change Management as a ""Science"" instead of an ""Art"" by using data-driven and predictable methodology· Utilize methods, estimators, and frameworks that integrate tightly with the broader project· Drive stakeholder engagement, leadership alignment, impact analysis, learning/training, communications, business readiness, deployment, and adoption measurement· Help re-align the organization, its people, and their actions with critical business imperatives and specific objectivesOrganizational Change Capability· Support client’s in achieving sustainable performance and/or improvements within their organizations· Assist client’s in building strong change management capability within their workforce· Assist with the workforce transition from internally managed operations to outsourced operations· Identify opportunities to provide or create additional client value· Develop trusted relationships with key clients or internal customers · Ability to meet travel requirements, up to 100%",1
,,0
CUSTOMER SERVICE AGENT ,"DescriptionLocation DALLAS, TX , USAJob DescriptionRepresentative, Customer Service - TX - Dallas Customer Service Representative     POSITION PURPOSE: The role of the Customer Service Representative is to develop customer relationships to increase customer loyalty and interact with customers in an efficient and professional manner. The Customer Service Representative is responsible for answering incoming calls from customers, answering inquiries and questions, handling complaints, troubleshooting problems and providing information that ultimately resolves the request.  As this environment is fast paced, you must be able to work under pressure and accurately process a high volume of calls on a daily basis and follow up with the request until it is resolved. You will be expected to provide the highest level of customer service in a friendly and helpful manner. This position requires an eye for detail and the ability to adapt to changing workloads and requests.RESPONSIBILITIES:  Accurate and timely follow up for internal and external customersEnsure Customer Service levels are met or exceededIdentify, research, and resolve customer issues using the various methodsComplete call logs and reports as neededWork in collaboration with internal and external customers to ensure appropriate standards are outlined and implemented Propose and help execute new approaches/procedures to drive continual improvements in the efficiency and effectiveness of the departmentMay be required to perform miscellaneous tasks to provide additional support to the organizationProactively identify trends from customer contacts and review with managerAnswer incoming calls and emails and satisfy the customer’s queries with the best knowledge &amp; expertise   SKILLS:  Strong Customer Service SkillsProven ability to work cooperatively as a member of a team as well as work independently to achieve goals and targetsAbility to follow through on requests and successfully close issuesProven ability to maintain accurate and detailed recordsExcellent oral and written communication skillsDemonstrated creative problem-solving skillsPrepare special reports upon requestAdhere to the Code of Business EthicsConduct oneself with honesty and integrity above all else. Commit to the highest ethical standardsEDUCATION AND EXPERIENCE: HIGH SCHOOL DIPLOMA",1
Accounting & Bookkeeping,"As an Accounting & Bookkeeping intern at Evara Clothing, you will have the exciting opportunity to apply your knowledge in accounting, financial literacy, and financial reporting to support our growing business. 

Selected intern's day-to-day responsibilities include:

1. Assisting with day-to-day accounting tasks such as accounts payable/receivable, invoicing, and bank reconciliations.
2. Supporting the preparation of financial statements and reports for management review.
3. Collaborating with team members to ensure accurate recording and reporting of financial transactions.
4. Assisting with budgeting and forecasting processes to help drive financial decision-making.
5. Utilizing accounting software to streamline processes and improve efficiency.
6. Researching accounting regulations and best practices to ensure compliance.
7. Contributing to special projects and initiatives to support the overall financial health of the company.

If you are a detail-oriented and motivated individual looking to gain hands-on experience in the world of accounting and bookkeeping, we invite you to join our team at Evara Clothing and make a meaningful impact on our business.",0
Media & Public Relations (PR),"Selected intern's day-to-day responsibilities include: 

1. Know the technicalities behind skilled writing to be able to draw up actionable client communications materials such as status reports, campaign summary reports, general activity reports, etc., under guidance and supervision
2. Participate actively in team and client meetings and be comfortable sharing and presenting your views internally and in front of the client, if appropriate
3. Learn about research and measurement methodologies and resources and use them to support the account team in IC programs
4. Monitor media coverage of clients and support the account team on daily administrative tasks
5. Play an active role in coordinating press materials and events such as press kits, releases, and press conferences",0
Human Resources (HR),"Selected intern's day-to-day responsibilities include: 

1. Screen resumes and application forms to identify qualified candidates
2. Schedule, coordinate, and confirm interviews with shortlisted candidates
3. Manage job postings across job boards, career pages, and social media platforms
4. Oversee intern hiring, monitor performance, and ensure timely submission of assignments",0
Cruise Staff Wanted *URGENT*,"6* Ultra Luxury American Cruise Company is urgently looking for the following positions:*Hospitality - For the many Bars &amp; Restaurants on board.*Retail - For the Duty FREE Shops &amp; Boutiques on board.*housekeeping - For the Housekeeping &amp; Cleaning jobs.*Office Admin - For the Front desk &amp; Tour booking jobs*Other Positions - DJ's, Security Staff, Photographers &amp; Nannies.Vessel type or operation: 6* Ultra Luxury Cruise.Certification &amp; Experience: Previous experience (not Required)Good English speaker, Some Customer Service Skills, wanting to learn &amp; work.Job Type: Perm.Sailing Area: World wide.Benefits: On board en suite accommodation and food, Medical cover for duration of contract, world work visa, free wifi, TAX FREE Salary &amp; more!Job Description:A 6* Ultra Luxury Cruise Company are looking to recruit hardworking, enthusiastic cruise personal. This exciting opportunity is available to candidates who are willing to Learn, work &amp; are flexible.Candidate will also have Some Customer Service Skills, skills in Public Relations and are Good English speakers. Rotation is 4 months on 2 months off. Great Salary in Euros (TAX FREE) Pay is discussed via communication after full application proccess.If you are looking for a new adventure.. APPLY TODAY!Please send your resume to: #EMAIL_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b# (coppy &amp; paste this e-mail address)We will contact you shortly after within 24 hours.Looking forward to have you Aboard.Adrian WestDept. Rec.",1
Church Administrator/ Secretary,"Description of the Church Administrative AssistantThe Church Administrative Assistant serves under the direct supervision of the Senior Pastor, to manage all activities of the main church office and perform administrative duties related to the church’s operation. This is a full time #URL_b74a96d67e677fe50326f5185df3e9f22ca81b928c4e286b6d7dccc397d2e7ac# for this postion should be of a Pentacostal or Baptist background and the church is apart of the Full Gospel Church Fellowship Organization.",1
Director of Engineering | Applications,"Director of Engineering | Applications | San Francisco, CAOur team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best product possible product and experience for our #URL_7a887988d8390684a7285e6db8b8422abc28a490e39cff05706d2b63ebd11fda# you will do:Lead and inspire a team of world-class engineersDrive cross-functional collaboration with the Product, Design, and Reliability teams to build high quality, robust products. These core products enable our customers to make critical business operations and risk management decisions with clarity and comfort.Motivate and provide necessary tools for engineers to work with the confidence to create simple solutions to complex problems.Leverage massive datasets that power the advanced technologies to make a real world difference.Fearlessly drive an efficient and effective Agile software development process to manage a deep backlog and launch iteratively developed products.Ensure stability of the product through robust, scalable and fault tolerant software development practicesAct as an active source of engineering talent and work with recruiting teams to build and scale the future of engineering.Align the team’s goals and objectives towards the “Bigger Picture” o ",1
Human Resources (HR),"Selected intern's day-to-day responsibilities include: 

1. Assist in recruitment (screening resumes, scheduling interviews).
2. Support onboarding/offboarding processes.
3. Maintain employee records and databases.
4. Help organize HR events and training sessions.
5. Assist in drafting policies, memos, and documentation.
6. Perform clerical duties like filing, scanning, and data entry.
7. Conduct initial research on HR trends, laws, and best practices.",0
Search Engine Optimization (SEO),"Selected intern's day-to-day responsibilities include: 

1. Conduct keyword research to identify high-traffic and relevant search terms.
2. Optimize website content and structure for improved search engine rankings.
3. Perform technical SEO audits to fix crawl errors, improve speed, and ensure mobile-friendliness.
4. Build high-quality backlinks through ethical off-page SEO strategies.
5. Monitor SEO performance metrics and generate reports using tools like Google Analytics and Search Console.",0
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
Campus Ambassador,"Are you a passionate and driven individual looking to make a difference in the lives of women and girls? She Can Foundation is seeking a campus ambassador intern with excellent English proficiency (written) to join our team! As a campus ambassador, you will have the opportunity to represent She Can Foundation on your college campus and help spread awareness about our mission to empower and support women in need.

The campus ambassador's day-to-day responsibilities include:

1. Organize and host events on campus to promote She Can Foundation and engage students in our cause.
2. Create engaging content for social media platforms to increase brand visibility and attract new supporters.
3. Collaborate with campus organizations and clubs to expand our reach and network within the college community.
4. Assist in developing marketing strategies and campaigns to drive donations and support for our programs.
5. Serve as a liaison between She Can Foundation and your campus, providing updates and feedback to our team.
6. Participate in training and development sessions to enhance your skills and knowledge in nonprofit management.
7. Act as a positive and enthusiastic representative of She Can Foundation, embodying our values and commitment to empowering women.

If you are a dedicated and enthusiastic advocate for women's empowerment, we want to hear from you! Join us as a campus ambassador intern and help us make a difference in the lives of women and girls across the globe. Apply now and be a part of our mission to create a more equitable and inclusive society for all.",0
Social Media Marketing,"Key responsibilities: 

1. Work on jewellery video shoot and editing/make lookbooks using AI.
2. Tap clients via social media.",0
Director of Strategy,"Director of Strategy | San Mateo, CA Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized?  Backed by investors such as Battery Ventures and Intel Capital? DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function.   It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues.    It will be an extremely visible role in the company and work across the entire organization.   This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff.    Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested.    Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies; ",1
Social Media Marketing,"Selected intern's day-to-day responsibilities include:

1. Monitor and track the company's online presence across various platforms, such as review sites, social media, forums, and blogs
2. Identify potential reputation threats and bring them to the attention of the supervisor or team
3. Respond promptly to negative reviews, comments, or mentions about the company, following established guidelines and scripts
4. Assist in creating and executing strategies to promote positive online content and amplify the company's brand reputation
5. Engage with customers and handle queries or complaints in a professional and courteous manner
6. Conduct research and analysis on competitors' online reputations and strategies
7. Assist in creating and curating content (text, images, videos) for the company's social media channels and website
8. Perform data entry tasks, such as updating databases with online mentions, reviews, and customer interactions
9. Participate in team meetings and provide insights or suggestions for improving online reputation management efforts
10. Adhere to company policies and guidelines related to online engagement, confidentiality, and data privacy
11. Undertake any other tasks or projects assigned by the supervisor or team related to online reputation management",0
Field Executives,"Selected intern's day-to-day responsibilities include: 
1. Go on the ground to different colleges in Delhi NCR
2. Promote our app directly to students
3. Convince students to install the app on their phones
4. Perform strategic campus visits at designated locations in Delhi NCR
5. Interact with target audiences to drive adoption of mobile applications
6. Implement promotion campaigns and enable app downloads",0
Marketing,"Selected intern's day-to-day responsibilities include:

1. Develop creative ideas for marketing campaigns and promotions.
2. Conduct research on industry trends, competitor activities, and local real estate markets.
3. Administrative support : Provide administrative support to the marketing department as needed, such as organizing materials, coordinating meetings, and managing database.",0
,,0
Finance & Accounting,"Selected intern's day-to-day responsibilities include: 

1. Work on accounting system Tally and ERP system, should have prior knowledge accounting entry in Tally.
2. Perform bank reconciliation
3. Make ledger entries in the accounting system, maintain inward and outward supply data, prepare invoices, make payments, and prepare daily MIS
4. Liaison with auditors, and prepare GST and TDS input data
5. Send reminders to creditors and other admin activities during the course of business",0
Youth Facilitator,"Selected intern's day-to-day responsibilities include:

1. Contact schools, youth organizations, and community groups to promote our programs and recruit participants
2. Assist in organizing and executing fundraising activities and campaigns to engage the youth community
3. Support the development and implementation of marketing campaigns targeted at youth
4. Create engaging content such as social media posts, videos, and blog articles to raise awareness and drive engagement
5. Facilitate workshops, discussions, and activities to empower young people on topics like leadership, personal development, and social issues
6. Foster a supportive and inclusive environment where youth feel valued, heard, and encouraged to express themselves
7. Assist in planning and coordinating youth-focused programs, events, and initiatives to promote personal growth, skill development, and community involvement

Note: This internship is provided by The Pawzz Foundation. Your tasks may overlap with common work elements on this platform.",0
,,0
Director of Software Engineering,"As Director of Software Engineering's newly forming New York development team, you will be a “player-coach” who will contribute to and drive high-level architecture and planning, manage day-to-day issues, as well as roll up your sleeves and code when necessary. Responsibilities: Inspire, mentor and lead our superb 30+ person engineering team using your experience and deep understanding of both leading-edge technologies and of motivation and leadership;Drive the aggressive growth and organization of Software Engineering as we double in size again over the next year;Contribute new technical insights and help decide design directions, while preserving the core cultural values that define #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# Engineering today, including: high level of personal performance; mutual trust; taking personal responsibility; flat &amp; informal organization; integrity; and a mutually supportive environment.",1
Data Entry Admin/Clerical Positions - Work From Home,ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply This is a Full Time Temporary Position Lasting for 2 yearsDescriptionValidate and review legal contractual agreements for customers Input contract into contract databases All contracts completed &amp; reviewed within per-determined service level agreement Professional e-mail interaction with customers Scanning and uploading of documents QualificationsHigh School Diploma or Equivalent Professional Communication Skills via e-mail interactionDedicated to the needs of the business Project management skills to assist in facilitating multiple contract rejects Detail oriented Able to multi-taskAbility to work with time sensitive documents Must be able to work independently but able to perform in a team environment when needed. Fast and accurate typist ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply,1
Marketing,"Are you a marketing enthusiast looking to kickstart your career in a dynamic and fast-paced environment? Anand Dharavath is seeking a talented Marketing intern with a passion for digital marketing and excellent English proficiency. As a key member of our team, you will have the opportunity to hone your skills in email marketing, social media marketing, and MS-Office while working on exciting projects that drive business growth. Join us and gain valuable hands-on experience in the world of marketing!

Selected intern's day-to-day responsibilities include:

1. Assist in developing and implementing digital marketing campaigns
2. Create engaging content for social media platforms
3. Manage email marketing campaigns and analyze performance metrics
4. Conduct market research and identify new opportunities for growth
5. Collaborate with team members on marketing strategies and initiatives
6. Monitor and respond to customer feedback on social media channels
7. Support the marketing team in various administrative tasks and projects.",0
Marketing Data,"Selected intern's day-to-day responsibilities include:

1. Collect and compile marketing and customer data from different tools such as Metabase, CleverTap, and others.
2. Fill and maintain structured sheets/reports with the extracted data accurately and timely.
3. Perform basic data cleaning and ensure data consistency.
4. Create and update Excel-based reports and dashboards as per team requirements.
5. Work closely with the marketing and product teams to understand reporting needs and deliver actionable insights.
6. Assist in ad hoc analysis or data-related tasks.",0
   Piping Material Engineer,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions Piping department, based in Houston Texas, USA, consists today of 118 highly skilled engineers and designers. We perform detail design and layouts of new offshore installations and land based process plants as well as participate in FEEDs. This includes activities like equipment layout, LQ layout and ergonomics, stress analysis of critical piping, pipe support activities, detailed specification of piping components and valves, material and weight take off, material handling activities and site operations support for our ongoing projects worldwide.We need talented and ambitious individuals who can strengthen our team and support our ambitious growth plans. We are looking for Piping Material Engineers.Responsibilities and tasksAs a piping engineer within Material/MTO will you participate in detail engineering projects where tasks include:• Preparation of piping material specifications, valve specifications, valve &amp; SP item datasheets, etc.• Responsibilty for preparing RFQ, TQ, TBE and PO of the piping items. • Reviews and comments on the vendor documentation related to the piping items such as valves, SP items, etc. • Identification of deviations in the job scope, estimation of extensivness of changes and initiate change orders• Represention of piping material engieering in meeting with clients, subcontractors other diciplines etc. • Provide recommendations for materials inspections, identification and certification",1
Accounting & Bookkeeping,"Selected intern's day-to-day responsibilities include: 

1.Assist in day-to-day accounting operations including data entry and bookkeeping.
2.Maintain records of financial transactions and ensure accuracy.
3.Prepare and process invoices, bills, and receipts.",0
CUSTOMER SERVICE REP,"DescriptionDUTIES INCLUDE BUT ARE NOT LIMITED TO:Perform all components of call processing, and adheres to Call Audit Tool.Reviews calls with Manager to meet Call Audit requirements.Performs accurate data entry at time of call.Communicates appropriately and clearly to departmental management, co-workers and callers.Treat callers with respect and dignity; ensures confidentiality of each person's data.Speak with a pleasant, professional telephone voice.Responsible for reviewing productivity stats/information as communicated by your Manager.Ensures that performance standards for hold time are met.  (less than 2 minutes on average).Ensures that performance standards for abandonment rate are met.  (less than 5% of total calls received).Ensures that performance standards for hold time are met.  (less than 2 minutes on average)Responsible for knowing addresses, telephone numbers, hospital services and classes offered.Document all inquires for statistical purposes.Maintain confidentiality of all interactions.Document call tracking information.Keep self and telephone available for calls unless otherwise assigned.Accurately and completely registers callers for classes.Able to discuss with callers the hospital services, directions, etc.Ensure that call documentation meets current standards and policies.Performs other specific duties as assigned by Manager (examples include sending rosters, processing daily mail - both incoming and outgoing, calling registrants with changes, updates and cancellations, etc.)Demonstrates knowledge of eCentaurus  which enables CSR to assist callers as quickly as possible.Practice and adhere to the ""Code of Conduct"" philosophy and ""Mission and Value Statement""Other duties as assigned.",1
Content and Social Media Marketing,"As a Social Media Intern at Kiren Smart Services Private Limited, you will have the opportunity to work on exciting digital projects that will sharpen your skills in content creation, reels editing, and social media strategy.

Key responsibilities:

1. Creating engaging posts, stories, and reels using your face for platforms like Instagram, Facebook, and LinkedIn.
2. Assisting in planning and executing content calendars to maintain a consistent brand presence.
3. Researching trends, audio, and viral content ideas to implement in reels and campaigns.
4. Capturing and editing short-form video content using mobile editing apps or tools like CapCut, InShot, etc.
5. Writing creative captions, selecting hashtags, and maintaining brand tone across channels.
6. Coordinating with the design and strategy teams to align visual and messaging elements.
7. Monitoring performance and suggesting improvements based on insights and analytics.

If you are a confident, creative, and enthusiastic individual comfortable in front of the camera     with a flair for content creation, trending reels, and social media storytelling     this internship is the perfect platform to learn, grow, and make a real impact. 
Apply now and become a part of our young and vibrant digital team!
Let me know if you want to adjust the tone, length, or add work-from-office details.",0
Receptionist/Front Desk,"Independent Optometrist office looking for a friendly individual to join our practice.  Must be customer service oriented.  Responsibilities include front desk tasks such as scheduling appointments, insurance verification, and posting charges.  Additional patient care duties may be added as time goes on.  Basic computer skills helpful.  Prior experience a plus but not required.  Position can be part-time or full-time.",1
Graphic Design,"Job Responsibilities

The intern will work under the supervision of the Director of Communications and Marketing who is responsible for Communications, Marketing, and Public Relations functions of the Community Foundation. Responsibilities include:
 Design clear engaging graphic communications for print and web. This will include marketing/communication brochures, direct mail pieces, web site and social media graphics, posters, flyers, and other marketing materials as needed.
 Work closely with Director of Marketing to translate messaging concepts into marketing materials.
 Assist the Director of Communications and Marketing with other projects TBD.",0
Administrative,"The administrative assistant will be responsible for providing clerical and administrative support.Operates in a manner that ensures compliant, ethical practices. Good verbal, written and interpersonal skills. Strong organizational skills, attention to detail and accuracy. Strong negotiation skills.",1
Test Automation Engineer,"Position:  Test Automation EngineerLocation: Groveport , OHDuration:  6+ months Contract to Hire Skills: JavaHTMLCucumberRubySeleniumElectric commanderJenkins  Responsibilities: Write test scenarios using test frameworks such as Cucumber and languages such as Java and Ruby.Produce well-written, efficient, high-quality, self-documenting test code that follows best practices and design patternsDesign, implement and launch highly-visible features for our retail platform using Test/Behavior Driven Development practicesUse your critical thinking skills by doing exploratory testingContinuously grow your skills and value through paired programming and code reviewsPractice relentless automation, continuous integration, continuous delivery and continuous improvementRecommend and adopt new technologies as well as keeping existing technologies on leading edge versionsInterface with the project team to develop a test strategy for each featureReport on quality to project and department leadershipBe an ambassador to the open source community to share your passion for testing innovation and to learn from the testing community ",1
